room_id,last_modified,price,latitude,longitude
172519,2017-07-11T15:19:29Z,60,32.741291,-117.218528
174015,2017-07-11T18:10:29Z,145,32.783329,-117.252621
174041,2017-07-11T18:07:18Z,150,32.912197,-117.130289
175119,2017-07-11T15:51:54Z,71,32.764927,-117.088147
176588,2017-07-11T17:26:39Z,89,32.772456,-117.202332
179884,2017-07-11T20:39:36Z,360,32.77528,-117.252737
181283,2017-07-11T17:55:41Z,125,32.716382,-117.138114
181539,2017-07-11T18:18:58Z,180,32.724944,-117.169289
182428,2017-07-11T17:59:50Z,135,32.764739,-117.2516
182504,2017-07-11T18:08:45Z,175,32.742794,-117.166803
184238,2017-07-11T17:52:45Z,139,32.740977,-117.24471
190179,2017-07-11T19:27:05Z,215,32.782482,-117.251686
190225,2017-07-11T20:44:07Z,500,32.840609,-117.269016
198692,2017-07-11T18:09:10Z,150,32.722212,-117.132669
203528,2017-07-11T16:31:57Z,129,32.75143,-117.192975
204211,2017-07-11T20:42:52Z,395,32.85359,-117.213499
204718,2017-07-11T15:10:03Z,55,32.784779,-117.205909
205703,2017-07-11T17:19:21Z,80,32.746316,-117.150768
211583,2017-07-11T18:06:44Z,164,32.76735,-117.249279
213653,2017-07-11T20:40:31Z,450,32.925904,-117.249589
222817,2017-07-11T15:05:36Z,32,32.753552,-117.106306
227691,2017-07-11T19:32:12Z,300,32.72177,-117.169155
241210,2017-07-11T15:11:36Z,60,32.757343,-117.136687
244653,2017-07-11T15:53:27Z,75,32.697426,-117.106022
246264,2017-07-11T17:22:42Z,89,32.794321,-117.17452
251323,2017-07-11T17:45:42Z,120,32.725501,-117.162749
252289,2017-07-11T17:55:59Z,135,32.752958,-117.177578
256585,2017-07-11T16:21:27Z,100,32.727839,-117.161024
269843,2017-07-11T15:09:24Z,55,32.781271,-117.160123
272822,2017-07-11T15:12:36Z,52,32.750407,-117.066134
273134,2017-07-11T15:09:24Z,50,32.781332,-117.160723
274943,2017-07-11T17:25:37Z,99,32.709222,-117.143337
275539,2017-07-11T17:45:48Z,119,32.708622,-117.142664
275557,2017-07-11T21:44:21Z,99,32.708076,-117.144054
275560,2017-07-11T17:23:25Z,89,32.70922,-117.142288
275566,2017-07-11T17:28:06Z,89,32.707801,-117.143686
275567,2017-07-11T17:20:08Z,79,32.709102,-117.14232
278138,2017-07-11T15:09:38Z,60,32.908378,-117.089808
278158,2017-07-11T15:10:35Z,60,32.906784,-117.087322
279012,2017-07-11T19:36:06Z,235,32.733776,-117.244503
